sponsor_zip,total,lat,lng,major_city,state
43065,1,40.17,-83.1,Powell,OH
43068,35,39.95,-82.77,Reynoldsburg,OH
43081,14,40.1,-82.9,Westerville,OH
43082,4,40.16,-82.87,Westerville,OH
43085,16,40.1,-83.01,Columbus,OH
43103,1,39.7,-82.9,Ashville,OH
43106,1,39.64,-83.41,Bloomingburg,OH
43110,8,39.8,-82.8,Canal Winchester,OH
43113,2,39.6,-82.9,Circleville,OH
43115,1,39.5,-83.2,Clarksburg,OH
43119,22,39.94,-83.21,Galloway,OH
43123,15,39.9,-83.1,Grove City,OH
43125,5,39.84,-82.89,Groveport,OH
43130,5,39.7,-82.6,Lancaster,OH
43140,6,39.9,-83.4,London,OH
43143,1,39.7,-83.3,Mount Sterling,OH
43147,2,39.89,-82.75,Pickerington,OH
43151,1,39.733,-83.476,Sedalia,OH
43153,2,39.7,-83.6,South Solon,OH
43154,1,39.61,-82.83,Stoutsville,OH
43160,2,39.5,-83.4,Washington Court House,OH
43162,1,39.94,-83.31,West Jefferson,OH
43201,15,39.99,-83,Columbus,OH
43202,9,40.02,-83.02,Columbus,OH
43203,4,39.97,-82.97,Columbus,OH
43204,131,39.96,-83.09,Columbus,OH
43205,6,39.96,-82.96,Columbus,OH
43206,17,39.94,-82.97,Columbus,OH
43207,103,39.88,-82.96,Columbus,OH
43209,14,39.95,-82.93,Columbus,OH
43211,61,40.01,-82.97,Columbus,OH
43212,5,39.99,-83.04,Columbus,OH
43213,110,39.97,-82.87,Columbus,OH
43214,3,40.05,-83.02,Columbus,OH
43215,1,39.97,-83.03,Columbus,OH
43217,4,39.82,-82.93,Columbus,OH
43219,47,40.01,-82.92,Columbus,OH
43220,31,40.05,-83.07,Columbus,OH
43221,3,40.03,-83.08,Columbus,OH
43222,5,39.96,-83.04,Columbus,OH
43223,85,39.93,-83.05,Columbus,OH
43224,144,40.04,-82.96,Columbus,OH
43227,161,39.94,-82.89,Columbus,OH
43228,195,39.96,-83.14,Columbus,OH
43229,251,40.08,-82.98,Columbus,OH
43230,6,40.03,-82.87,Columbus,OH
43231,24,40.08,-82.94,Columbus,OH
43232,121,39.92,-82.88,Columbus,OH
43235,56,40.1,-83.06,Columbus,OH
43302,47,40.6,-83.1,Marion,OH
43311,2,40.4,-83.7,Bellefontaine,OH
43326,20,40.6,-83.6,Kenton,OH
43332,7,40.6,-83.4,La Rue,OH
43341,1,40.59,-83.31,New Bloomington,OH
43351,2,40.8,-83.3,Upper Sandusky,OH
43420,2,41.4,-83.1,Fremont,OH
43451,2,41.31,-83.62,Portage,OH
43502,2,41.5,-84.3,Archbold,OH
43506,1,41.5,-84.5,Bryan,OH
43512,4,41.3,-84.4,Defiance,OH
43515,1,41.6,-84,Delta,OH
43521,3,41.7,-84.3,Fayette,OH
43526,21,41.3,-84.7,Hicksville,OH
43537,2,41.57,-83.68,Maumee,OH
43545,5,41.4,-84.1,Napoleon,OH
43554,1,41.6,-84.6,Pioneer,OH
43556,3,41.32,-84.56,Sherwood,OH
43567,19,41.6,-84.1,Wauseon,OH
43569,2,41.35,-83.8,Weston,OH
43604,1,41.65,-83.54,Toledo,OH
43605,2,41.65,-83.51,Toledo,OH
43608,2,41.68,-83.53,Toledo,OH
43609,9,41.62,-83.58,Toledo,OH
43611,1,41.7,-83.48,Toledo,OH
43612,3,41.71,-83.54,Toledo,OH
43613,3,41.7,-83.61,Toledo,OH
43614,1,41.6,-83.67,Toledo,OH
43615,3,41.65,-83.67,Toledo,OH
43620,1,41.66,-83.55,Toledo,OH
43623,2,41.71,-83.66,Toledo,OH
43701,3,40,-82,Zanesville,OH
43725,1,40,-81.6,Cambridge,OH
43804,1,40.45,-81.74,Baltic,OH
43824,2,40.4,-81.8,Fresno,OH
43832,2,40.3,-81.6,Newcomerstown,OH
43912,2,40.09,-80.79,Bridgeport,OH
43920,3,40.68,-80.59,East Liverpool,OH
43950,3,40.1,-80.9,Saint Clairsville,OH
43952,1,40.39,-80.68,Steubenville,OH
44004,1,41.9,-80.8,Ashtabula,OH
44017,1,41.37,-81.87,Berea,OH
44021,3,41.4,-81.1,Burton,OH
44024,2,41.6,-81.2,Chardon,OH
44035,4,41.4,-82.1,Elyria,OH
44039,2,41.37,-82.02,North Ridgeville,OH
44041,2,41.8,-80.9,Geneva,OH
44047,1,41.7,-80.7,Jefferson,OH
